Formula,RT,Mass,Cpd,Antibase ID,CAS
C6H8O6,,176.0321,Erythorbic acid; D-(-)-Isoascorbic acid; D-arabino-Ascorbic acid; D-Araboascorbic acid; D-Erythorbic acid; Erycorbin; Glucosaccharonic acid; Isovitamin C; Saccharosonic acid,22541,89-65-6
C34H58O2,,498.4437,"10,11:14,15-Diepoxy-tetramethylsqualene",22542,
C40H78O2,,590.6002,"(-)-14(R),15(R):18(S),19-(S)-Diepoxy-lycopaene",22543,220676-63-1
C25H35N1O4,,413.2566,LL-49F233a,22544,
C33H54O3,,498.4073,Stearoyldelicone,22545,
C33H56O4,,516.4179,Stearoylplorantinone-B,22546,
C33H56O4,,516.4179,Plorantinone-D; Stearolylplorantinone-A,22547,
C15H22O3,,250.1569,Epiplorantinone-B,22548,
C14H18O4,,250.1205,Deliquinone,22549,
C14H18O5,,266.1154,"2,9-Epoxydeliquinone",22550,
C35H58O5,,558.4284,Illudalane,22551,
C67H116O25,,1320.7806,Luteophanol-B,22552,
C67H116O25,,1320.7806,Luteophanol-C,22553,
C23H25Br1O5,,460.0885,5-Bromoochrephilone,22554,
C21H28O5,,360.1937,Dechloroisochromophilone IV,22555,
C19H26O4,,318.1831,Dechloroisochromophilone III,22556,
C23H24O5,,380.1624,Isorotiorin,22557,
C61H113N1O24,,1243.7653,Aflastatin-B,22558,
C40H71N1O12,,757.4976,13-Cyclopentyl-13-desmethyl-erythromycin B,22559,
C33H40O7,,548.2774,Pycnidone; Pycnidione,22560,149064-34-6
C17H14O6,,314.079,"1-Hydroxy-2,6,8-trimethoxy-9,10-anthraquinone",22561,
C16H12O6,,300.0634,"1,4-Dihydroxy-2,5-dimethoxy-9,10-anthraquinone",22562,
C51H93N1O4,,783.7105,n-Palmityl-aminobacteriohopanetriol,22563,
C25H34O4,,398.2457,Blazeispirol; Blazeispirol-A,22564,
C52H73N7O14,,1019.5216,Salinamide-C,22565,
C43H62N6O12,,854.4426,Salinamide-E,22566,
C37H55N5O6S1,,697.3873,Lyngbyapeptin A,22567,
C15H24O2,,236.1776,Walleminol,22568,
C15H24O3,,252.1725,Walleminone,22569,
C16H18O5,,290.1154,(+)-Mycoepoxydiene,22570,221898-91-5
C16H32O2,,256.2402,MT-965-A; 14-Methylpentadecanoic acid,22571,
C20H36O2,,308.2715,MT-965-B,22572,
C14H11Br3O6,,511.8106,"6-Bromo-3-(2,5-dibromo-6-hydroxy-3-hydroxymethyl-phenoxy)-4-hydroxymethyl- benzene-1,2-diol",22573,
C16H15Br3O6,,539.8419,"6-Bromo-3-(2,5-dibromo-6-hydroxy-3-methoxymethyl-phenoxy)-4-methoxymethyl- benzene-1,2-diol",22574,
C14H10Br4O5,,573.7262,"Bis(2,3-dibromo-4,5-dihydroxybenzyl) ether",22575,74849-07-3
C20H30N4O6,,422.2165,WF-14861,22576,
C51H91N1O4,,781.6948,n-Palmitoleyl-aminobacteriohopanetriol,22577,
C35H58O4,,542.4335,Hopanelactone,22578,
C20H32O4,,336.2301,"16,18-Dihydroxyaphidicolan-17-oic acid",22579,
C29H50O1,,414.3862,"4a,23-Dimethyl-22-dehydrocholestanol",22580,
C26H44O1,,372.3392,24-Norcholesta-22-en-3--ol,22581,
C27H46O1,,386.3549,5a-Cholest-22-en-3-ol,22582,
C30H52O1,,428.4018,Aplysterol,22583,
C30H50O1,,426.3862,"24,28-Dehydroaplysterol",22584,
C26H42O1,,370.3236,"(22E)-24-Norcholesta-5,22-dien-3-ol",22585,
C27H44O1,,384.3392,"(22Z)-Cholest-5,22-dien-3-ol",22586,
C29H48O1,,412.3705,"24- Ethylcholesta-5,22-dien-3-ol",22587,
C39H51N1O15,,773.3259,YL-01641P-C1,22588,
C30H50O1,,426.3862,(Z)-24-Propylidenecholest-5-en-3-ol,22589,
C27H42O1,,382.3236,"Cholesta-4,22-dien-3-one",22590,
C27H44O1,,384.3392,Cholest-4-en-3-one,22591,
C28H44O1,,396.3392,"Ergosta-4,22-dien-3-one",22592,
C28H44O1,,396.3392,"Ergosta-4,24(28)-dien-3-one",22593,
C26H40O1,,368.3079,"24-Norcholesta-4,22-dien-3-one",22594,
C29H46O1,,410.3549,"(E)-Stigmasta-4,24(28)-dien-3-one; 24-Ethylcholesta-4,24(28)-dien-3-one",22595,
C27H44O3,,416.329,"Cholest-6-en-3-ol 5a,8a-peroxide; 7-Dehydrocholesterol peroxide",22596,
C28H44O3,,428.329,"Cholesta-6,24(28)-dien-3-ol 5a,8a-peroxide",22597,
C29H48O3,,444.3603,"24(R)-Ethyl-cholesta-6-en-3-ol 5a,8a-peroxide",22598,
C6H9N1O4,,159.0532,"Pyrrolidine-2,5-dicarboxylic acid",22599,
C5H11N1O3S1,,165.046,L-Methionine sulfoxide,22600,
C6H13N1O3S1,,179.0616,N-Methyl-L-methionine sulfoxide; 4-Methanesulfinyl-2-methylamino butyric acid; N-Methylmethionine S-oxide,22601,
C1H2Br1Cl1,,127.9028,Bromochloromethane,22602,
C1H1Br1Cl2,,161.8639,Bromodichloromethane,22603,
C1H1Br2Cl1,,205.8134,Dibromochloromethane,22604,
C1H1I3,,393.7213,Iodoform,22605,
C2H5Br1,,107.9575,Ethylbromide,22606,
C2H4Br1I1,,233.8541,Bromoiodoethane,22607,
C1H1Br1Cl1I1,,253.7995,Bromochloroiodomethane,22608,
C1H1Br1I2,,345.7351,Bromodiiodomethane,22609,
C2Cl4,,163.8754,"1,1,2,2-Tetrachloroethene",22610,
C2H1Cl3,,129.9144,"1,1,2-Trichloroethene",22611,
C2H3Cl3,,131.93,"1,1,1-Trichloroethane",22612,
C2H2Br2O1,,199.8472,"2,2-Dibromoethanal",22613,
C3H4Br1I1O1,,261.849,1-Bromo-3-iodopropanone,22614,
C3Cl6O1,,261.808,"1,1,1,3,3,3-Hexachloropropanone",22615,
C1I2O1,,281.8039,Diiodoformaldehyde,22616,
C2H5I1O1,,171.9385,2-Iodoethanol,22617,
,,0,Peptide 3,22618,
C28H40O9,,520.2672,Dihydrochlorodesmin,22619,
C24H36O4,,388.2614,Didehydrotrifarin,22620,
C24H38O4,,390.277,Trifarin,22621,
C19H28O4,,320.1988,Flexilin,22622,
C76H99Br1N16O27,,1746.6049,Theopalauamide,22623,
C22H14O6,,374.079,Habitone,22624,
C17H26O5,,310.178,"8,9-Epibotrydial",22625,
C17H26O5,,310.178,1-Epibotrydial,22626,
C17H26O5,,310.178,"1,8,9-Epibotrydial",22627,
C46H57N6Na2O15P1,,964.362,Micropeptin T-20,22628,
C20H9Cl1O8,,411.9986,Spiroxin-A,22629,
C20H8Cl2O8,,445.9596,Spiroxin-B,22630,
C20H10O7,,362.0427,Spiroxin-C,22631,
C20H12O7,,364.0583,Spiroxin-D,22632,
C25H29Cl1O6,,460.1653,RP-1551-1,22633,
C24H31Cl1O5,,434.186,RP-1551-2,22634,
C25H27Cl1O5,,442.1547,RP-1551-3,22635,
C25H29Cl1O6,,460.1653,RP-1551-4,22636,
C25H33Cl1O5,,448.2017,RP-1551-5,22637,
C25H29Cl1O6,,460.1653,RP-1551-6,22638,
C26H31Cl1O6,,474.1809,RP-1551-M1,22639,
C19H25Cl1O4,,352.1441,RP-1551-M2,22640,
C29H38N2O6,,510.273,Xanthobaccin-A,22641,
C20H10Cl2O8,,447.9753,Spiroxin-E,22642,
C29H43N1O5,,485.3141,F-10463A; Scyphostatin,22643,
C24H35N1O3,,385.2617,TMC-169,22644,
C23H20O5,,376.1311,Cinnatriacetin-A; FH-2,22645,24477-14-3
C23H20O5,,376.1311,Cinnatriacetin-B; FH-1,22646,244277-15-4
C32H50N4O6,,586.373,Sansalvamide; Sansalvamide A,22647,
C11H16O10,,308.0744,"5-O-(-D-Galactopyranosyl)-D-glycero-pent-2-enono-1,4-lactone; UNK-1; D-Erythroascorbic acid",22648,
C30H51N5O9,,625.3687,Destruxin-Ed(1),22649,
C36H58N4O11S1,,754.3823,Topostatin,22650,
C18H28O2,,276.2089,Dehydrocrepenyic acid,22651,
C23H32O4,,372.2301,Hongoquercin-A,22652,
C25H34O6,,430.2355,Hongoquercin-B,22653,
C20H18O7,,370.1053,"3,3*-Dihydroxyterphenyllin",22654,
C1S2,,75.9441,Carbon disulphide,22655,
C27H52N6O7,,572.3897,IC-202-A,22656,221456-27-5
C21H14Fe1N3O9,,452.073,Viridomycin-F,22657,
C40H72O14,,776.4922,Roselipin-1A,22658,
C16H24O6,,312.1573,Mer-f3; 12-Hydroxy-ovalicin,22659,
C60H91N5O13,,1089.6613,Sanglifehrin-A,22660,187148-13-6
C60H89N5O12,,1071.6508,Sanglifehrin-B,22661,187148-14-7
C61H93N5O13,,1103.677,Sanglifehrin-C,22662,187148-15-8
C61H91N5O12,,1085.6664,Sanglifehrin-D,22663,187148-16-9
C17H24O9,,372.142,(-)-Macrosphelide,22664,239094-08-7
C13H13N3O3S1,,291.0678,Pyrisulfoxin-A,22665,
C13H11N3O2S1,,273.0572,Pyrisulfoxin-B,22666,
C26H35N1O7,,473.2414,SMTP-3,22667,
C32H39N1O6,,533.2777,SMTP-4D,22668,
C29H41N1O6,,499.2934,SMTP-5D,22669,
C34H40N2O6,,572.2886,SMTP-6D,22670,
C28H36O10,,532.2309,BE-31405,22671,158054-02-5
C38H64N8O14,,856.4542,Diperamycin,22672,
C30H31N1O9,,549.1999,FE-35A,22673,
C31H31N1O10,,577.1948,FE-35B,22674,
C11H13N1O4,,223.0845,Cytoxazone,22675,
C25H38O6,,434.2668,CJ-14258,22676,
C34H48O9,,600.3298,GR-135402 isomer 1,22677,
C34H48O9,,600.3298,GR-135402 isomer 2,22678,
C34H48O9,,600.3298,GR-135402 isomer 3,22679,
C34H48O10,,616.3248,6'-Hydroxy-2*-methyl-zofimarin,22680,
C29H42O9,,534.2829,GR-135402,22681,
C81H150O28,,1571.0314,Fattiviracin A1,22682,
C40H72O14,,776.4922,Roselipin-1B,22683,
C42H74O15,,818.5028,Roselipin-2A,22684,
C42H74O15,,818.5028,Roselipin-2B; TMC-151F,22685,
C13H26O2,,214.1933,Tridecanoic acid,22686,
C14H26O2,,226.1933,7-Tetradecenoic acid,22687,
C15H28O2,,240.2089,9-Pentadecenoic acid,22688,
C15H28O2,,240.2089,10-Pentadecenoic acid,22689,
C15H30O2,,242.2246,Pentadacenoic acid,22690,
C16H30O2,,254.2246,Hexadec-10-enoic acid,22691,
C16H30O2,,254.2246,Hexadec-11-enoic acid; Fatty acid C16:1w5c,22692,
C17H32O2,,268.2402,11-Heptadecenoic acid; Fatty acid C17:1w6c,22693,
C17H34O2,,270.2559,Heptadecanoic acid; Margaric acid,22694,
C18H34O2,,282.2559,(Z)-11-Octadecenoic acid; Asclepic acid; cis-Vaccenic acid,22695,506-17-2
C18H34O2,,282.2559,13-Octadecenoic acid,22696,
C19H36O2,,296.2715,9-Nonadecenoic acid,22697,
C18H36O3,,300.2664,3-Hydroxyoctadecanoic acid,22698,
C20H38O2,,310.2872,9-Eicosenoic acid,22699,
C20H38O2,,310.2872,11-Eicosenoic acid,22700,
C20H38O2,,310.2872,13-Eicosenoic acid,22701,
C20H40O2,,312.3028,Eicosanoic acid,22702,
C21H42O2,,326.3185,Heneicosanoic acid,22703,
C22H42O2,,338.3185,9-Docosenoic acid,22704,
C22H42O2,,338.3185,13-Docosenoic acid,22705,
C22H44O2,,340.3341,Docosanoic acid,22706,
C23H46O2,,354.3498,Tricosanoic acid,22707,
C24H48O2,,368.3654,Tetracosanoic acid,22708,
C30H58O4,,482.4335,"13,14-Dimethyloctacosanedioic acid",22709,
C32H62O4,,510.4648,"15,16-Dimethyltriacontanedioic acid",22710,
C24H46O2,,366.3498,Tetracosenoic acid,22711,
C26H52O2,,396.3967,Hexacosenoic acid,22712,
C16H30O4,,286.2144,Hexadecanedioic acid,22713,
C18H34O4,,314.2457,Octadecanedioic acid,22714,
C19H36O4,,328.2614,Nonadecanedioic acid,22715,
C20H38O4,,342.277,Eicosanedioic acid,22716,
C22H42O4,,370.3083,Docosanedioic acid,22717,
C27H42N6O6,,546.3166,Westielamide,22718,
C28H22Cl1N1O8,,535.1034,BE-19412A,22719,
C30H26Cl1N1O8,,563.1347,BE-19412B,22720,
C18H18N2O7,,374.1114,Glyucosylquestiomycin; Questiomycin A N-glucopyranoside,22721,
C72H109N17O21,,1547.7984,WAP-8294A1,22722,
C43H70O10,,746.4969,O-Galactosyl-glycerolipid,22723,
C25H34O6,,430.2355,CJ-15544,22724,
C25H34O6,,430.2355,CP-412065,22725,
C73H111N17O21,,1561.814,WAP-8294A2,22726,
C74H113N17O21,,1575.8297,WAP-8294A4,22727,
C72H109N17O21,,1547.7984,WAP-8294X8,22728,
C72H109N17O21,,1547.7984,WAP-8294X9,22729,
C74H113N17O21,,1575.8297,WAP-8294X13,22730,
C18H26O9,,386.1577,(-)-Macrosphelide-K,22731,239094-08-7
C11H12O5,,224.0685,"(4S,5R,6R,10R)-4,6-Dihydroxy-10-methyl-3-methylene-2-oxaspiro[4.5]dec-8-ene-1,7-dione",22732,238735-98-3
C15H20O2,,232.1463,Delicone,22733,
C15H22O3,,250.1569,Plorantinone-B,22734,
C15H22O3,,250.1569,Plorantinone-A,22735,
C17H16,,220.1252,"1,5-Diphenyl-1,4-pentadiene",22736,
C18H18O2,,266.1307,Cinnamyl dihydrocinnamate,22737,
C17H10O9,,358.0325,Subnorstictic acid,22738,
C27H32O7,,468.2148,Decarboxyalectoronic acid,22739,
C28H34O8,,498.2254,Di-O-methylphysodic acid,22740,
C24H27N5O2,,417.2165,16-N-Ethylroquefortin C,22741,
C17H15N5O2,,321.1226,"(E)-3-(1H-Imidazol-4-ylmethylen)-6-(1H-indol-3-ylmethyl)-2,5-piperazindiol",22742,
C21H19N1O6,,381.1212,Lavendustin A,22743,
C27H42O1,,382.3236," 4,6-Cholestadien-3-one",22744,
C27H46O2,,402.3498,22R-Hydroxycholester-3-ol,22745,
C28H32O8,,496.2097,Bislongiquinolide; Bisorbibutenolide,22746,194155-78-7
C15H20O6,,296.126,Russulactarorufin,22747,
C28H40O5,,456.2876,"2,12-Diepineobalearone",22748,
C28H38O5,,454.2719,4'-Methoxy-(2E)-bifurcarenone chromene derivative,22749,
C21H28O4,,344.1988,"Vasinfectin A; (E)-2-(3-Hydroxy-2,4-dimethyl-1-hexenyl)-2,7-dimethyl-5-propanoyl-2H-benzo[b]furan-3-one",22750,
C21H28O4,,344.1988,"Vasinfectin B; (E)-2-(3-Hydroxy-2,4-dimethyl-1-hexenyl)-2,7-dimethyl-5-propanoyl-2H-benzo[b]furan-3-one",22751,
C45H73N7O19S1,,1047.4682,Suomilide,22752,
C25H22Cl2O12,,584.0488,Sch 202596,22753,
C18H26O2,,274.1933,Tanzawaic acid B; GS-1302-1,22754,169181-33-3
C18H22O2,,270.162,Tanzawaic acid A; GS-1302-3,22755,169181-34-4
C18H26O3,,290.1882,Tanzawaic acid C,22756,196868-00-5
C18H22O3,,286.1569,Tanzawaic acid D,22757,
C34H44O10,,612.2935,Orevactaene,22758,
C8H18O1,,130.1358,1-Octanol,22759,
C8H16O1,,128.1201,(Z)-2-Octen-1-ol,22760,
,,0,Peptide 2,22761,
C15H24O3,,252.1725,"(2R,5S,10R)-2-(1',2'-Dihydroxy-1'-methylethyl)-6,10-dimethylspiro[4,5]dec-6-en-8-one, isomer A1",22762,
C21H34O8,,414.2254,"(2R,5S,10R)-2-(1',2'-Dihydroxy-1'-methylethyl)-6,10-dimethylspiro[4,5]dec-6-en-8-one 2'-O--Dglucopyranoside",22763,
C22H36Cl1N1O2,,381.2435,Pitiamide A,22764,
C18H21Cl2N3O9,,493.0655,Kaitocephalin; PF-1191,22765,501334-35-6
C27H32N2O8,,512.2159,YM-75518,22766,
C29H52O2,,432.3967,"24-Methylpavlovol; 4a,24-Dimethyl-5a-cholestan-3,4-diol",22767,
C45H76N8O15,,968.543,Polyoxypeptin A,22768,
C20H28O4,,332.1988,Kalkipyrone,22769,
C15H22O2,,234.162,Violascensol,22770,
C33H54O4,,514.4022,Violascensol 6-ketostearoyl ester,22771,
C41H55N5O7,,729.4102,Exumolide A,22772,
C40H53N5O7,,715.3945,Exumolide B,22773,
C22H28N2O3,,368.21,Mollenine A,22774,
C23H28N2O4,,396.2049,Mollenine B,22775,
C25H35N1O4,,413.2566,Phomasetin,22776,
C14H19N1O5,,281.1263,Zooxanthellabetain A,22777,
C11H18N1O2,,196.1338,Zooxanthellabetain B,22778,
C30H45N1O5,,499.3298,Zooxanthellamine,22779,
C34H67N1O4,,553.507,Symbioramide C16,22780,
C94H178N2O25P2,,1797.2194,N-(-Acyloxyacyl)ornithine,22781,
,,0,O-beta-D-Galactopyranosyl-(1-->1')-ceramide,22782,
C33H54O4,,514.4022,Oleoyl velutinal,22783,
C33H52O4,,512.3866,Linoleoyl velutinal,22784,
C31H52O4,,488.3866,Palmitoyl velutinal,22785,
C6H10O1,,98.0732,4-Methyl-3-penten-2-one,22786,
C7H14O1,,114.1045,4-Heptanone,22787,
C6H10O1,,98.0732,2-Methylcyclopentanone,22788,
C5H8O1,,84.0575,Cyclopentanone,22789,120-92-3
C6H8O2,,112.0524,2-Hydroxy-3-methylcyclopentenone,22790,
C6H12O2,,116.0837,Butyl acetate,22791,
C5H12O1,,88.0888,3-Methyl-2-butanol,22792,598-75-4
C5H12O1,,88.0888,2-Pentanol,22793,
C4H10O1,,74.0732,1-Butanol,22794,71-36-3
C5H10O1,,86.0732,1-Penten-3-ol,22795,
C5H10O1,,86.0732,3-Methyl-3-buten-1-ol,22796,763-32-6
C5H10O1,,86.0732,3-Methyl-2-buten-1-ol,22797,
C6H14O1,,102.1045,3-Methyl-2-pentanol,22798,
C4H10O2,,90.0681,"2,3-Butandiol",22799,
C6H8N2,,108.0687,"2,6-Dimethylpyrazine",22800,
C6H6O2,,110.0368,2-Acetylfurane,22801,
C5H6O2,,98.0368,3-Methyl-dihydrofuranone,22802,
C5H6O2,,98.0368,2-Furane-methanol; 2-(Hydroxymethyl)furan,22803,98-00-0
C8H10,,106.0783,"1,4-Dimethylbenzene; p-Xylene",22804,
C22H29N3O2,,367.226,Brevicompanine A,22805,
C22H29N3O2,,367.226,Brevicompanine B,22806,
C13H20O2,,208.1463,2-Methoxymethyl-3-pentylphenol,22807,
C12H14O3,,206.0943,3-Butyl-7-hydroxyphthalide,22808,
C30H44O5,,484.3189,S-19159,22809,
C14H18O4,,250.1205,Corollosporine,22810,
C45H68N2O16,,892.4569,Brasilicardin-A; 0406TP1,22811,211108-46-2
C58H98N6O18,,1166.6938,Homocereulide,22812,
C9H13Br2Cl1O2,,345.8971,Plocamiopyranoid-A,22813,
C10H14Br2Cl2O1,,377.8788,Plocamiopyranoid-B,22814,
C21H17N3O1,,327.1372,Chondriamide C,22815,
C11H10N2O1,,186.0793,3-Indoleacrylamide; 3-(3-Indolyl)acrylamide,22816,
C65H84N12O15,,1272.6179,Loloatin-A,22817,
C69H86N14O14,,1334.6448,Loloatin-C,22818,
C67H85N13O15,,1311.6288,Loloatin-D,22819,
C17H21N1O4,,303.1471,Solanapyrone F,22820,220924-50-5
C18H22O4,,302.1518,Solanapyrone D,22821,106973-16-4
C17H21N1O3,,287.1521,Solanapyrone G,22822,220924-51-6
C13H24O4,,244.1675,Sphaeric acid,22823,
C23H40O3,,364.2977,Hierridin-B,22824,
C18H27Br1O2,,354.1194,"(5E,17E)-18-Bromo-octadeca-5,17-diene-15-ynoic acid",22825,
C16H30O5,,302.2093,"Koninginin G; (2R,4aS,5S,8R,8aR)-rel-(+)-Octahydro-2-[(1R)-1-hydroxyheptyl]-8aH-1-benzopyran-5,8,8a-triol",22826,219908-52-8
C121H207N9O59S2,,2794.2916,Saccharomicin-A,22827,219828-36-1
C121H207N9O58S2,,2778.2967,Saccharomicin-B,22828,219828-70-3
C14H16O5,,264.0998,Epoxysorbicillinol,22829,
C21H32O3,,332.2351,Tintinnadiol,22830,
C32H32N4O3,,520.2474,Okaramine-H,22831,
C27H24N4O3,,452.1848,Okaramine-I,22832,
C36H71N1O3,,565.5434,Ceramide-C,22833,
C30H40O7,,512.2774,Sodagnitin-B,22834,
C36H48O11,,656.3197,Sodagnitin-D,22835,
C30H44O6,,500.3138,Sodagnitin-E,22836,
C30H42O7,,514.2931,Sodagnitin-F,22837,
C26H32N2O8,,500.2159,Boletocrocin-A,22838,
C13H16O6,,268.0947,Multiforisin-G,22839,
C13H16O6,,268.0947,Multiforisin-H,22840,
C11H14O5,,226.0841,Multiforisin-I,22841,
C23H23Cl1O5,,414.1234,Emeguisin-A,22842,
C15H24O3,,252.1725,"(2R,5S,10R)-2-(1',2'-dihydroxy-1'-methylethyl)-6,10-dimethylspiro[4,5]dec-6-en-8-one, isomer A2",22843,
C11H11Cl1O6,,274.0244,"(1R,6R,9S,10S)-9-Chloro-10-hydroxy-8-methoxycarbonyl-4-methylene-2,5- dioxabicyclo[4.4.0]dec-3-one-7-ene",22844,
C15H21Cl1O1,,252.1281,"(6R,7R)-3-cis,9-cis,12-cis,7-Chloropetadeca-3,9,12-trien-1-yne",22845,
C11H13I1N4O3,,376.0032,"4-Amino-7-(5'-deoxyribos-1'a-yl)-5-iodo-pyrrolo[2,3-d]pyrimidine",22846,
C1H1Cl3,,117.9144,Chloroform,22847,
C1Cl4,,151.8754,Carbon tetrachloride,22848,
C1H2Cl2,,83.9534,Dichloromethane,22849,
C1Br4,,327.6733,Carbontetrabromide,22850,
C3H2Br3Cl1,,309.7395,"1,1,3-Tribromo-3-chloro-propene",22851,
C3H2Br1Cl2I1,,313.7762,"1-Bromo-3,3-dichloro-1-iodo-propene",22852,
C4H2Br2Cl2O1,,293.7849,"1,1-Dibromo-4,4-dichloro-but-3-en-2-one",22853,
C3H2Br2O1,,211.8472,"3,3-Dibromo-prop-2-enal",22854,
C7H12Br2O1,,269.9255,"1,1-Dibromo-heptan-2-one",22855,
C7H11Br3O1,,347.836,"1,1,3-Tribromo-heptan-3-one",22856,
C7H12Br2O1,,269.9255,"1,3-Dibromo-heptan-2-one",22857,
C4H2Br4O1,,381.6839,"1,3,4,4-Tetrabromo-but-3-en-2-one",22858,
C6H6Br2O2,,267.8735,"3,4-Dibromo-5-methylene-cyclopent-3-ene-1,2-diol",22859,
C12H21Br1O3,,292.0674,4-Bromo-3-oxo-butyric acid 1-methyl-heptyl ester,22860,
C15H18Br1I1O1,,419.9586,"4-Bromo-2-(1,2-dimethyl-3-methylene-cyclopentyl)-3-iodo-5-methyl-phenol",22861,
C15H18Br1I1O1,,419.9586,"4-Bromo-9-iodomethyl-1,5,12-trimethyl-8-oxa-tricyclo[7.2.1.0 2,7] dodeca- 2(7),3,5-triene",22862,
C15H21Br1O2,,312.0725,noname,22863,
C15H22Br2O3,,407.9936,3-Dechloro-3-hydroxy-pacifenol,22864,
C15H19Br1O2,,310.0568,noname,22865,
C24H25Cl1O5,,428.1391,Emeguisin-B,22866,
C24H24Cl2O5,,462.1001,Emeguisin-C,22867,
C15H21Br2Cl1O1,,409.9648,Kylinone,22868,
C15H23Cl1O2,,270.1387,2-Chloro-3-hydroxy-a-chamigren-9-one,22869,
C15H23Cl1O2,,270.1387,"(2,3,4aalpha,8aalpha)-3-Chlorohexahydro-2,5,5,8a-tetramethyl-7H-2, 4-ethano-2H-1-benzopyran-7-one",22870,108906-79-2
C15H23Br2Cl1O2,,427.9753,Obtusol epoxide,22871,
C15H24Br1Cl1O1,,334.0699,Hurgadol,22872,
C15H21Br1,,280.0827,"1-(3-Bromomethyl-1-methyl-2-methylene-cyclopentyl)-4-methyl-cyclohexy-1,4- diene",22873,
C15H19Br1,,278.067,noname,22874,
C15H23Br2Cl1O1,,411.9804,"Chamigrene epoxide; 2,10-Dibromo-3-chloro-7,8-epoxychamigrane",22875,
C10H14Br1Cl3,,317.9344,"(1R,2S,4R,5R,1'E)-4-Bromo-1,2-dichloro-5-(2'-chloroethenyl)-1,5-dimethyl- cyclohexane",22876,
C10H14Br1Cl3,,317.9344,Telfairine,22877,
C10H12Br1Cl3,,315.9188,"(1E,3E,5R,6R,7E)-8-Bromo-5,6-dichloro-2-chloromethyl-6-methyl-octa-1,3,7-triene",22878,
C10H14Br1Cl3,,317.9344,"1,2-Dichloro-ochtod-3-ene",22879,
C10H16Br1Cl3,,319.9501,"(2Z)-6-Bromo-3-chloromethyl-1,7-dichloro-7-methylocta-2-ene",22880,
C22H33Br1O5,,456.1511,Deoxyparguerol,22881,
C20H34Br1Cl1O2,,420.1431,Dactylomelol,22882,
C16H22Cl2,,284.1099,Dichlorohomolaurane,22883,
C24H29Cl1O9,,496.15,Erythrolide C,22884,
C20H33Br1O2,,384.1664,Rotalin B,22885,
C24H37Cl1O3,,408.2431,Konakhin,22886,
C15H20Br3Cl1O2,,503.8702,"4:7,6:12-Bisepoxy-9-chloro-1,10,13-tribromopentadeca-1,2-diene",22887,
C15H16Br2O3,,401.9466,NSC 352110; Okamurallene,22888,
C15H20Br1Cl1O2,,346.0335,Notoryne; Notorine,22889,
C16H19Br2Cl1O2,,435.944,10-Bromo-obtusallene,22890,
C24H44Cl6O8S2,,734.0609,noname,22891,
C20H16Cl1N1O1,,321.092,Chlorohyellazole,22892,
C12H8Cl1N1,,201.0345,3-Chlorocarbazole,22893,
C14H10O4,,242.0579,"1,7-Dihydroxy-3-methylxanthone; Xanthone XT 5",22894,112606-79-8
C34H32O15,,680.1741,Neosartorin,22895,
C15H12O5,,272.0685,"3-Hydroxy-2,4-dimethoxyxanthone",22896,
C15H12O5,,272.0685,"4-Hydroxy-2,3-dimethoxyxanthone",22897,
C24H20O8,,436.1158,Kielcorin,22898,
C15H12O6,,288.0634,Swertinin,22899,
C16H14O6,,302.079,"6-Hydroxy-1,3,5-trimethoxy-9H-xanthen-9-one",22900,181933-02-8
C18H16O5,,312.0998,"1,3,7-Trihydroxy-2-(3-methylbut-2-enyl)-xanthone",22901,
C18H16O5,,312.0998,"1,3,5-Trihydroxy-2-(3-methylbut-2-enyl)-xanthone",22902,
C18H18O6,,330.1103,"1,3,7,13-Tetrahydroxy-2-(3-methylbutyl)-xanthone",22903,
C18H14O6,,326.079,Jacareubin,22904,
C39H54O6,,618.392,27-O-trans-p-Coumaroylcylicodiscic acid,22905,
C39H54O6,,618.392,27-O-cis-p-Coumaroylcylicodiscic acid,22906,
C30H48O4,,472.3553,Cylicodiscic acid,22907,
C26H33N3O7,,499.2319,Boletocrocin-B,22908,
C24H30N2O8,,474.2002,Boletocrocin-C,22909,
C25H30N2O8,,486.2002,Boletocrocin-E,22910,
C22H28N2O8,,448.1846,Boletocrocin-D,22911,
C27H34N2O8,,514.2315,Boletocrocin-F,22912,
C27H35N3O7,,513.2475,Boletocrocin-G,22913,
C25H40O6,,436.2825,Secospatacetal-A,22914,
C26H40O7,,464.2774,Secospatacetal-B,22915,
C25H40O6,,436.2825,Secospatacetal-C,22916,
C24H36O5,,404.2563,Secospatacetal-D,22917,
C24H38O5,,406.2719,Secospatacetal-E,22918,
C50H88N8O12,,992.6522,Lichenysin-G1a,22919,
C50H88N8O12,,992.6522,Lichenysin-G1b,22920,
C51H90N8O12,,1006.6678,Lichenysin-G3,22921,
C52H92N8O12,,1020.6835,Lichenysin-G5a,22922,
C51H90N8O12,,1006.6678,Lichenysin-G2a,22923,
C51H90N8O12,,1006.6678,"Lichenysin-G2b; *[Gln1]Surfactin*; [Gln1,Ile7]Surfactin",22924,
C52H92N8O12,,1020.6835,Lichenysin-G4,22925,
C53H94N8O12,,1034.6991,Lichenysin-G6a,22926,
C95H97N13O30,,1899.6464,Feglymycin,22927,
C63H96N12O21,,1356.6813,Sch-20562; W-10 major component,22928,
C57H86N12O16,,1194.6285,Sch-20561,22929,
C42H32O18,,824.1589,Diazaphilonic acid,22930,
